"address","zipCode","city","state","price","bed","bath","sqft","pricePerSf","lotArea","lotAreaType","zillowUrl","latitude","longitude","homeType","zestimate","rentZestimate","imageUrl"
"920 Edinburgh Rd S #4, Guelph, ON N1G 5C5","N1G5C5","Guelph","ON","699900","3","3","","","","","https://zillow.com/homedetails/920-Edinburgh-Rd-S-4-Guelph-ON-N1G-5C5/448325957_zpid/","43.511635","-80.210724","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/90e263bceab059f5475b694b79824732-p_e.jpg"
"10 Jean Anderson Cres, Guelph, ON N1G 5A6","N1G5A6","Guelph","ON","1624900","6","4","2749","591.09","7469.1076","sqft","https://zillow.com/homedetails/10-Jean-Anderson-Cres-Guelph-ON-N1G-5A6/447735983_zpid/","43.49854","-80.20018","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/5ffcfa1aef7e2d24cd6bbcd8feba3eb9-p_e.jpg"
"10 Bright Ln, Guelph, ON N1L 1S6","N1L1S6","Guelph","ON","1799900","5","4","","","5670","sqft","https://zillow.com/homedetails/10-Bright-Ln-Guelph-ON-N1L-1S6/2064689092_zpid/","43.51577","-80.184105","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/f3407da763926c7988f47b288c5cdebd-p_e.jpg"
"90 Neeve St, Guelph, ON N1E 5S1","N1E5S1","Guelph","ON","610000","3","1","","","2059.5954","sqft","https://zillow.com/homedetails/90-Neeve-St-Guelph-ON-N1E-5S1/359205555_zpid/","43.54439","-80.24114","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/163213d78b1cfa047007d972ba7ea025-p_e.jpg"
"41 Goodwin Dr #202, Guelph, ON N1L 0E7","N1L0E7","Guelph","ON","524900","2","1","865","606.82","","","https://zillow.com/homedetails/41-Goodwin-Dr-202-Guelph-ON-N1L-0E7/447916258_zpid/","43.5039","-80.18556","CONDO","","","https://photos.zillowstatic.com/fp/a6bb08a4501d5782ec7148f017a8fccd-p_e.jpg"
"71 Davis St, Guelph, ON N1E 0G3","N1E0G3","Guelph","ON","1200000","5","4","","","455.28","sqft","https://zillow.com/homedetails/71-Davis-St-Guelph-ON-N1E-0G3/2071811201_zpid/","43.581055","-80.221466","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/0bd1389ebf625de4a38fe5a7d29eb6bd-p_e.jpg"
"20 Delmar Blvd, Guelph, ON N1E 2K8","N1E2K8","Guelph","ON","764900","4","2","991","771.85","5000","sqft","https://zillow.com/homedetails/20-Delmar-Blvd-Guelph-ON-N1E-2K8/2068769890_zpid/","43.55969","-80.237366","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/fe1a7f46806309d2b42131eb155b41f3-p_e.jpg"
"26 Lowes Rd W #105, Guelph, ON N1G 4X2","N1G4X2","Guelph","ON","499900","2","2","","","","","https://zillow.com/homedetails/26-Lowes-Rd-W-105-Guelph-ON-N1G-4X2/2055433166_zpid/","43.508995","-80.19499","APARTMENT","","","https://photos.zillowstatic.com/fp/73f5dc9bbe906346e296336910a9d907-p_e.jpg"
"332 Gosling Gdns #312, Guelph, ON N1L 0P8","N1L0P8","Guelph","ON","629999","2","2","1022","616.44","","","https://zillow.com/homedetails/332-Gosling-Gdns-312-Guelph-ON-N1L-0P8/343916434_zpid/","43.497997","-80.18668","CONDO","","","https://photos.zillowstatic.com/fp/7e0724fa8e11a8a6c13e99dc36629b82-p_e.jpg"
"30 Imperial Rd S #106, Guelph, ON N1K 1Y5","N1K1Y5","Guelph","ON","699900","3","3","1260","555.48","","","https://zillow.com/homedetails/30-Imperial-Rd-S-106-Guelph-ON-N1K-1Y5/448738766_zpid/","43.52616","-80.28716","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/0168853c9eedaa7c7cb719fe81bd1f49-p_e.jpg"
"75 Westra Dr, Guelph, ON N1K 0B5","N1K0B5","Guelph","ON","1289000","4","4","2613","493.3","4189.392","sqft","https://zillow.com/homedetails/75-Westra-Dr-Guelph-ON-N1K-0B5/448216607_zpid/","43.52332","-80.30722","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/a8b61cb8ac6715dd2767e6be4310ca0f-p_e.jpg"
"134 Dublin St N, Guelph, ON N1H 4N7","N1H4N7","Guelph","ON","1799900","4","3","","","5712","sqft","https://zillow.com/homedetails/134-Dublin-St-N-Guelph-ON-N1H-4N7/351536648_zpid/","43.545303","-80.2555","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/8ab60a699ad1b6f9ecc4d3ba681193e1-p_e.jpg"
"28 Valleyridge Trl, Guelph, ON N1G 4B3","N1G4B3","Guelph","ON","1449900","4","4","","","0.47695133149678604","acres","https://zillow.com/homedetails/28-Valleyridge-Trl-Guelph-ON-N1G-4B3/448123709_zpid/","43.508522","-80.242676","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/a8a11866b2dbc816e04e80a7bcf3a75f-p_e.jpg"
"302 College Ave W #44, Guelph, ON N1G 4T6","N1G4T6","Guelph","ON","749900","3","3","1320","568.11","","","https://zillow.com/homedetails/302-College-Ave-W-44-Guelph-ON-N1G-4T6/449588855_zpid/","43.520607","-80.24478","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/ffbf6a2c0e8b5c6096d86715ca9b061e-p_e.jpg"
"72 York Rd #20, Guelph, ON N1E 0M3","N1E0M3","Guelph","ON","819000","2","3","","","","","https://zillow.com/homedetails/72-York-Rd-20-Guelph-ON-N1E-0M3/2066648776_zpid/","43.54204","-80.24038","TOWNHOUSE","","","https://photos.zillowstatic.com/fp/57bf1b1dab59dce8e372afd773b770c0-p_e.jpg"
"281 Palmer St, Guelph, ON N1E 2S1","N1E2S1","Guelph","ON","769900","3","1","","","10000","sqft","https://zillow.com/homedetails/281-Palmer-St-Guelph-ON-N1E-2S1/448889122_zpid/","43.55545","-80.23972","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/ab9e1f5ba341bfccb41c2e7160607ff9-p_e.jpg"
"25 Kay Cres #207, Guelph, ON N1L 0P2","N1L0P2","Guelph","ON","579900","2","2","940","616.91","","","https://zillow.com/homedetails/25-Kay-Cres-207-Guelph-ON-N1L-0P2/2072911064_zpid/","43.50394","-80.18395","CONDO","","","https://photos.zillowstatic.com/fp/271d4c52671be988e4a89ce2d09abc1a-p_e.jpg"
"231 Alma St N, Guelph, ON N1H 5Y1","N1H5Y1","Guelph","ON","689000","4","1","","","4751.6952","sqft","https://zillow.com/homedetails/231-Alma-St-N-Guelph-ON-N1H-5Y1/2064626706_zpid/","43.542744","-80.27189","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/bb269cfc931fec7792492825b07e4be7-p_e.jpg"
"191 Elmira Rd S #105, Guelph, ON N1K 0B6","N1K0B6","Guelph","ON","499000","2","2","998","500","","","https://zillow.com/homedetails/191-Elmira-Rd-S-105-Guelph-ON-N1K-0B6/449380788_zpid/","43.520542","-80.287285","CONDO","","","https://photos.zillowstatic.com/fp/56562b11aebf0bc46e3dda398500fddf-p_e.jpg"
"212 Summerfield Dr, Guelph, ON N1L 1L3","N1L1L3","Guelph","ON","1320000","5","4","","","5250","sqft","https://zillow.com/homedetails/212-Summerfield-Dr-Guelph-ON-N1L-1L3/2061989548_zpid/","43.51786","-80.18317","SINGLE_FAMILY","","","https://photos.zillowstatic.com/fp/fef5d93f7a83fa959ef853301d72a6ce-p_e.jpg"
